segment;expected;rank;hypothesis;codepoint;distance;similarity
11;С;29;Л;U+041B;1.07110126;0.48283492
11;С;30;Ч;U+0427;1.07765961;0.48131080
11;С;31;Н;U+041D;1.08576319;0.47944081
11;С;32;Ф;U+0424;1.08588320;0.47941323
11;С;33;Ү;U+04AE;1.09523287;0.47727392
11;С;34;І;U+0406;1.12646292;0.47026449
11;С;35;А;U+0410;1.13843668;0.46763134
11;С;36;Ш;U+0428;1.14894616;0.46534437
11;С;37;К;U+041A;1.32416397;0.43026224
11;С;38;Й;U+0419;1.38798715;0.41876272
11;С;39;Х;U+0425;1.41955430;0.41329926
11;С;40;Ж;U+0416;1.43918551;0.40997292
11;С;41;М;U+041C;1.44404408;0.40915792
11;С;42;И;U+0418;1.47691782;0.40372757
12;Ы;1;Ы;U+042B;0.18192736;0.84607568
12;Ы;2;Н;U+041D;0.56626216;0.63846272
12;Ы;3;Ь;U+042C;0.75736771;0.56903287
12;Ы;4;Һ;U+04BA;0.77647990;0.56291096
12;Ы;5;П;U+041F;0.79045534;0.55851714
12;Ы;6;В;U+0412;0.79700662;0.55648098
12;Ы;7;Й;U+0419;0.80027371;0.55547109
12;Ы;8;О;U+041E;0.81305899;0.55155403
12;Ы;9;И;U+0418;0.87251345;0.53404156
12;Ы;10;Б;U+0411;0.87428627;0.53353643
12;Ы;11;Ө;U+04E8;0.89648595;0.52729102
12;Ы;12;Қ;U+049A;0.90249698;0.52562501
12;Ы;13;Ч;U+0427;0.90258325;0.52560118
12;Ы;14;Ю;U+042E;0.94341218;0.51455888
12;Ы;15;Ш;U+0428;0.95203586;0.51228567
12;Ы;16;Ә;U+04D8;0.95655866;0.51110147
12;Ы;17;Я;U+042F;0.96307261;0.50940551
12;Ы;18;Е;U+0415;1.01551073;0.49615216
12;Ы;19;М;U+041C;1.01777083;0.49559642
12;Ы;20;Р;U+0420;1.02698443;0.49334370
12;Ы;21;Э;U+042D;1.07288712;0.48241894
12;Ы;22;Л;U+041B;1.09949244;0.47630560
12;Ы;23;Ё;U+0401;1.10162356;0.47582261
12;Ы;24;С;U+0421;1.11879022;0.47196744
12;Ы;25;Ц;U+0426;1.14521229;0.46615433
12;Ы;26;Ң;U+04A2;1.17412970;0.45995416
12;Ы;27;К;U+041A;1.17982513;0.45875239
12;Ы;28;Щ;U+0429;1.18029900;0.45865269
12;Ы;29;З;U+0417;1.18379416;0.45791862
12;Ы;30;Д;U+0414;1.20474086;0.45356804
12;Ы;31;Ф;U+0424;1.20864586;0.45276611
12;Ы;32;Ъ;U+042A;1.22529390;0.44937884
12;Ы;33;Г;U+0413;1.30414391;0.43400067
12;Ы;34;У;U+0423;1.31733032;0.43153106
12;Ы;35;А;U+0410;1.42182927;0.41291102
12;Ы;36;Ү;U+04AE;1.42316354;0.41268366
12;Ы;37;Ұ;U+04B0;1.43089997;0.41137028
12;Ы;38;Ж;U+0416;1.46442700;0.40577384
12;Ы;39;І;U+0406;1.46856569;0.40509353
12;Ы;40;Ғ;U+0492;1.53641536;0.39425719
12;Ы;41;Т;U+0422;1.56745050;0.38949144
12;Ы;42;Х;U+0425;1.61604228;0.38225682
13;К;1;К;U+041A;0.12302637;0.89045104
13;К;2;М;U+041C;0.78732360;0.55949577
13;К;3;И;U+0418;0.81261149;0.55169020
